"fecha","cantidad","material","Tipo_Producto","segmento_producto","supergrupo_producto","grupo_producto","subgrupo_producto"
"2022-06-01","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-04","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-05","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-06","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-10","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-11","4.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-12","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-14","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-15","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-17","6.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-19","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-20","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-25","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-26","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-06-30","3.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-02","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-03","3.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-04","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-08","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-09","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-12","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-14","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-15","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-17","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-23","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-24","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-07-25","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-02","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-04","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-05","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-09","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-17","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-18","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-19","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-27","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-28","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-08-29","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-09-04","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-09-18","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
